Serial Number:20365150 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","EOF"
2019-10-05 20:49:20,47.67,0, , , 
2019-10-05 21:49:20,46.28,0, , , 
2019-10-05 22:49:20,46.51,0, , , 
2019-10-05 23:49:20,44.58,0, , , 
2019-10-06 00:49:20,40.88,0, , , 
2019-10-06 01:49:20,39.02,0, , , 
2019-10-06 02:49:20,40.95,0, , , 
2019-10-06 03:49:20,44.66,0, , , 
2019-10-06 04:49:20,44.89,0, , , 
2019-10-06 05:49:20,41.65,0, , , 
2019-10-06 06:49:20,39.72,1, , , 
2019-10-06 07:49:20,40.80,132, , , 
2019-10-06 08:49:20,59.02,858, , , 
2019-10-06 09:49:20,59.87,247, , , 
2019-10-06 10:49:20,57.09,174, , , 
2019-10-06 11:49:20,54.47,113, , , 
2019-10-06 12:49:20,55.55,104, , , 
2019-10-06 13:49:20,57.71,94, , , 
2019-10-06 14:49:20,59.72,108, , , 
2019-10-06 15:49:20,61.34,144, , , 
2019-10-06 16:49:20,60.10,109, , , 
2019-10-06 17:49:20,57.01,54, , , 
2019-10-06 18:49:20,47.21,1, , , 
2019-10-06 19:49:20,40.72,0, , , 
2019-10-06 20:49:20,36.94,0, , , 
2019-10-06 21:49:20,34.54,0, , , 
2019-10-06 22:49:20,32.92,0, , , 
2019-10-06 23:49:20,31.38,0, , , 
2019-10-07 00:49:20,30.91,0, , , 
2019-10-07 01:49:20,31.92,0, , , 
2019-10-07 02:49:20,31.07,0, , , 
2019-10-07 03:49:20,29.83,0, , , 
2019-10-07 04:49:20,29.52,0, , , 
2019-10-07 05:49:20,28.60,0, , , 
2019-10-07 06:49:20,27.44,1, , , 
2019-10-07 07:49:20,31.76,112, , , 
2019-10-07 08:49:20,47.13,685, , , 
2019-10-07 09:49:20,61.96,279, , , 
2019-10-07 10:49:20,60.26,166, , , 
2019-10-07 11:49:20,61.03,109, , , 
2019-10-07 12:49:20,66.74,100, , , 
2019-10-07 13:49:20,68.06,92, , , 
2019-10-07 14:49:20,70.53,103, , , 
2019-10-07 15:49:20,73.77,183, , , 
2019-10-07 16:49:20,72.38,101, , , 
2019-10-07 17:49:20,65.28,51, , , 
2019-10-07 18:49:20,53.23,0, , , 
2019-10-07 19:49:20,43.58,0, , , 
2019-10-07 20:49:20,41.34,0, , , 
2019-10-07 21:49:20,38.40,0, , , 
2019-10-07 22:49:20,38.40,0, , , 
2019-10-07 23:49:20,37.40,0, , , 
2019-10-08 00:49:20,36.94,0, , , 
2019-10-08 01:49:20,33.38,0, , , 
2019-10-08 02:49:20,30.99,0, , , 
2019-10-08 03:49:20,30.76,0, , , 
2019-10-08 04:49:20,33.08,0, , , 
2019-10-08 05:49:20,35.70,0, , , 
2019-10-08 06:49:20,36.55,0, , , 
2019-10-08 07:49:20,40.18,36, , , 
2019-10-08 08:49:20,50.30,148, , , 
2019-10-08 09:49:20,55.24,179, , , 
2019-10-08 10:49:20,63.89,284, , , 
2019-10-08 11:49:20,70.61,278, , , 
2019-10-08 12:49:20,76.40,196, , , 
2019-10-08 13:49:20,74.54,105, , , 
2019-10-08 14:49:20,77.86,164, , , 
2019-10-08 15:49:20,79.25,256, , , 
2019-10-08 16:49:20,73.85,77, , , 
2019-10-08 17:49:20,65.35,46, , , 
2019-10-08 18:49:20,54.16,0, , , 
2019-10-08 19:49:20,48.44,0, , , 
2019-10-08 20:49:20,47.13,0, , , 
2019-10-08 21:49:20,45.82,0, , , 
2019-10-08 22:49:20,50.84,0, , , 
2019-10-08 23:49:20,56.78,0, , , 
2019-10-09 00:49:20,54.39,0, , , 
2019-10-09 01:49:20,49.37,0, , , 
2019-10-09 02:49:20,49.06,0, , , 
2019-10-09 03:49:20,42.57,0, , , 
2019-10-09 04:49:20,39.87,0, , , 
2019-10-09 05:49:20,37.94,0, , , 
2019-10-09 06:49:20,38.33,0, , , 
2019-10-09 07:49:20,41.72,32, , , 
2019-10-09 08:49:20,47.44,101, , , 
2019-10-09 09:49:20,68.75,267, , , 
2019-10-09 10:49:20,72.00,208, , , 
2019-10-09 11:49:20,71.15,149, , , 
2019-10-09 12:49:20,76.78,116, , , 
2019-10-09 13:49:20,77.48,106, , , 
2019-10-09 14:49:20,76.86,163, , , 
2019-10-09 15:49:20,75.01,99, , , 
2019-10-09 16:49:20,72.00,100, , , 
2019-10-09 17:49:20,56.32,31, , , 
2019-10-09 18:49:20,49.52,0, , , 
2019-10-09 19:49:20,45.05,0, , , 
2019-10-09 20:49:20,40.18,0, , , 
2019-10-09 21:49:20,34.54,0, , , 
2019-10-09 22:49:20,32.61,0, , , 
2019-10-09 23:49:20,31.07,0, , , 
2019-10-10 00:49:20,29.76,0, , , 
2019-10-10 01:49:20,28.91,0, , , 
2019-10-10 02:49:20,27.83,0, , , 
2019-10-10 03:49:20,26.44,0, , , 
2019-10-10 04:49:20,25.51,0, , , 
2019-10-10 05:49:20,24.74,0, , , 
2019-10-10 06:49:20,23.04,0, , , 
2019-10-10 07:49:20,22.34,13, , , 
2019-10-10 08:49:20,22.19,77, , , 
